Score,Subject,Task,Timesec,Scorer,Time,Session,Sex,Age,PPLog
19,11,Cutting,180,2,3:00,4,Male,22,-2.122609654
25,12,Cutting,200,2,3:20,4,Male,23,-2.120125703
22,13,Cutting,90,2,1:30,4,Male,22,-2.148206698
27,19,Cutting,145,2,2:25,4,Female,23,-2.134753898
22,21,Cutting,110,2,1:50,4,Female,22,-2.135133451
25,22,Cutting,265,2,4:25,4,Female,26,-2.138167751
29,24,Cutting,410,2,6:50,4,Female,25,-2.127778372
24,26,Cutting,75,2,1:15,4,Female,22,-2.145993768
22,1,Cutting,245,1,4:05,5,Male,22,-2.302585093
24,2,Cutting,265,1,4:25,5,Male,23,-2.147396031
25,3,Cutting,195,1,3:15,5,Male,23,-2.137954346
15,4,Cutting,115,1,1:55,5,Male,23,-2.137046388
25,7,Cutting,180,1,3:00,5,Male,25,-2.140525398
27,8,Cutting,270,1,4:30,5,Male,22,-2.144315687
18,10,Cutting,135,1,2:15,5,Male,24,NA
16,11,Cutting,80,1,1:20,5,Male,22,-2.132551381
28,12,Cutting,150,1,2:30,5,Male,23,-2.116924681
29,13,Cutting,105,1,1:45,5,Male,22,-2.150387607
27,19,Cutting,140,1,2:20,5,Female,23,-2.129765405
25,21,Cutting,100,1,1:40,5,Female,22,-2.117604388
26,22,Cutting,210,1,3:30,5,Female,26,-2.142545787
22,24,Cutting,495,1,8:15,5,Female,25,-2.135280307
26,26,Cutting,130,1,2:10,5,Female,22,-2.135867097
23,1,Cutting,245,2,4:05,5,Male,22,-2.302585093
22,2,Cutting,265,2,4:25,5,Male,23,-2.147396031
24,3,Cutting,195,2,3:15,5,Male,23,-2.137954346
19,4,Cutting,115,2,1:55,5,Male,23,-2.137046388
23,7,Cutting,180,2,3:00,5,Male,25,-2.140525398
25,8,Cutting,270,2,4:30,5,Male,22,-2.144315687
21,10,Cutting,135,2,2:15,5,Male,24,NA
16,11,Cutting,80,2,1:20,5,Male,22,-2.132551381
24,12,Cutting,150,2,2:30,5,Male,23,-2.116924681
25,13,Cutting,105,2,1:45,5,Male,22,-2.150387607
28,19,Cutting,140,2,2:20,5,Female,23,-2.129765405
26,21,Cutting,100,2,1:40,5,Female,22,-2.117604388
24,22,Cutting,210,2,3:30,5,Female,26,-2.142545787
24,24,Cutting,495,2,8:15,5,Female,25,-2.135280307
25,26,Cutting,130,2,2:10,5,Female,22,-2.135867097
13,1,Suturing,800,1,20:00,1,Male,22,-2.243857515
15,2,Suturing,600,1,20:00,1,Male,23,-2.302585093
18,3,Suturing,480,1,20:00,1,Male,23,-2.262095765
12,4,Suturing,1200,1,20:00,1,Male,23,-2.238439078
22,7,Suturing,300,1,20:00,1,Male,25,-2.248589794
9,8,Suturing,2400,1,20:00,1,Male,22,NA
10,10,Suturing,1200,1,20:00,1,Male,24,-2.251454291
14,11,Suturing,600,1,20:00,1,Male,22,-2.253133608
11,12,Suturing,1200,1,20:00,1,Male,23,-2.241659925
13,13,Suturing,800,1,20:00,1,Male,22,-2.244175179
12,19,Suturing,600,1,20:00,1,Female,23,NA
13,21,Suturing,800,1,20:00,1,Female,22,-2.238977697
16,22,Suturing,400,1,20:00,1,Female,26,-2.212767423
21,24,Suturing,192.5,1,19:15,1,Female,25,-2.272101148
15,26,Suturing,342.8571429,1,20:00,1,Female,22,-2.251253607
15,1,Suturing,800,2,20:00,1,Male,22,-2.243857515
17,2,Suturing,600,2,20:00,1,Male,23,-2.302585093
17,3,Suturing,480,2,20:00,1,Male,23,-2.262095765
11,4,Suturing,1200,2,20:00,1,Male,23,-2.238439078
23,7,Suturing,300,2,20:00,1,Male,25,-2.248589794
10,8,Suturing,2400,2,20:00,1,Male,22,NA
13,10,Suturing,1200,2,20:00,1,Male,24,-2.251454291
17,11,Suturing,600,2,20:00,1,Male,22,-2.253133608
10,12,Suturing,1200,2,20:00,1,Male,23,-2.241659925
15,13,Suturing,800,2,20:00,1,Male,22,-2.244175179
16,19,Suturing,600,2,20:00,1,Female,23,NA
17,21,Suturing,800,2,20:00,1,Female,22,-2.238977697
12,22,Suturing,400,2,20:00,1,Female,26,-2.212767423
20,24,Suturing,192.5,2,19:15,1,Female,25,-2.272101148
15,26,Suturing,342.8571429,2,20:00,1,Female,22,-2.251253607
15,1,Suturing,800,1,20:00,2,Male,22,-2.23967855
16,2,Suturing,400,1,20:00,2,Male,23,-2.294676569
20,3,Suturing,266.6666667,1,20:00,2,Male,23,NA
18,4,Suturing,480,1,20:00,2,Male,23,-2.247209884
25,7,Suturing,179.0909091,1,16:25,2,Male,25,-2.24781559
21,8,Suturing,300,1,20:00,2,Male,22,-2.267842841
12,10,Suturing,480,1,20:00,2,Male,24,-2.240585786
17,11,Suturing,300,1,20:00,2,Male,22,-2.260716366
15,12,Suturing,600,1,20:00,2,Male,23,-2.24228624
16,13,Suturing,600,1,20:00,2,Male,22,-2.245614987
22,19,Suturing,178.3333333,1,17:50,2,Female,23,-2.253602762
17,21,Suturing,480,1,20:00,2,Female,22,-2.258805899
23,22,Suturing,199.1666667,1,19:55,2,Female,26,-2.220318345
22,24,Suturing,198.3333333,1,19:50,2,Female,25,-2.265589935
24,26,Suturing,180.8333333,1,18:05,2,Female,22,-2.241984646
13,1,Suturing,800,2,20:00,2,Male,22,-2.23967855
19,2,Suturing,400,2,20:00,2,Male,23,-2.294676569
22,3,Suturing,266.6666667,2,20:00,2,Male,23,NA
17,4,Suturing,480,2,20:00,2,Male,23,-2.247209884
25,7,Suturing,179.0909091,2,16:25,2,Male,25,-2.24781559
20,8,Suturing,300,2,20:00,2,Male,22,-2.267842841
14,10,Suturing,480,2,20:00,2,Male,24,-2.240585786
21,11,Suturing,300,2,20:00,2,Male,22,-2.260716366
16,12,Suturing,600,2,20:00,2,Male,23,-2.24228624
15,13,Suturing,600,2,20:00,2,Male,22,-2.245614987
24,19,Suturing,178.3333333,2,17:50,2,Female,23,-2.253602762
19,21,Suturing,480,2,20:00,2,Female,22,-2.258805899
22,22,Suturing,199.1666667,2,19:55,2,Female,26,-2.220318345
22,24,Suturing,198.3333333,2,19:50,2,Female,25,-2.265589935
25,26,Suturing,180.8333333,2,18:05,2,Female,22,-2.241984646
16,1,Suturing,480,1,20:00,3,Male,22,-2.246014232
16,2,Suturing,800,1,20:00,3,Male,23,-2.245197674
25,3,Suturing,150.8333333,1,15:05,3,Male,23,-2.23669658
19,4,Suturing,240,1,20:00,3,Male,23,-2.260059444
27,7,Suturing,163.3333333,1,16:20,3,Male,25,-2.105174337
22,8,Suturing,240,1,20:00,3,Male,22,-2.25605718
13,10,Suturing,218.1818182,1,20:00,3,Male,24,-2.241404316
18,11,Suturing,199.8333333,1,19:59,3,Male,22,-2.232438814
18,12,Suturing,342.8571429,1,20:00,3,Male,23,-2.225856688
19,13,Suturing,342.8571429,1,20:00,3,Male,22,-2.251405602
23,19,Suturing,145,1,14:30,3,Female,23,-2.256039194
18,21,Suturing,300,1,20:00,3,Female,22,-2.229417468
23,22,Suturing,192.5,1,19:15,3,Female,26,-2.237235829
24,24,Suturing,181.6666667,1,18:10,3,Female,25,-2.233422546
23,26,Suturing,197.5,1,19:45,3,Female,22,-2.24293239
17,1,Suturing,480,2,20:00,3,Male,22,-2.246014232
14,2,Suturing,800,2,20:00,3,Male,23,-2.245197674
23,3,Suturing,150.8333333,2,15:05,3,Male,23,-2.23669658
22,4,Suturing,240,2,20:00,3,Male,23,-2.260059444
24,7,Suturing,163.3333333,2,16:20,3,Male,25,-2.105174337
26,8,Suturing,240,2,20:00,3,Male,22,-2.25605718
18,10,Suturing,218.1818182,2,20:00,3,Male,24,-2.241404316
23,11,Suturing,199.8333333,2,19:59,3,Male,22,-2.232438814
20,12,Suturing,342.8571429,2,20:00,3,Male,23,-2.225856688
19,13,Suturing,342.8571429,2,20:00,3,Male,22,-2.251405602
27,19,Suturing,145,2,14:30,3,Female,23,-2.256039194
16,21,Suturing,300,2,20:00,3,Female,22,-2.229417468
26,22,Suturing,192.5,2,19:15,3,Female,26,-2.237235829
22,24,Suturing,181.6666667,2,18:10,3,Female,25,-2.233422546
25,26,Suturing,197.5,2,19:45,3,Female,22,-2.24293239
17,1,Suturing,480,1,20:00,4,Male,22,NA
19,2,Suturing,300,1,20:00,4,Male,23,-2.254385322
24,3,Suturing,154.1666667,1,15:25,4,Male,23,-2.224141768
22,4,Suturing,175,1,17:30,4,Male,23,-2.2454935
29,7,Suturing,121.6666667,1,12:10,4,Male,25,-2.252491149
28,8,Suturing,119.1666667,1,11:55,4,Male,22,-2.24576587
14,10,Suturing,202.7272727,1,18:35,4,Male,24,-2.240278439
20,11,Suturing,218.1818182,1,20:00,4,Male,22,-2.238419069
20,12,Suturing,197.5,1,19:45,4,Male,23,-2.227057134
17,13,Suturing,400,1,20:00,4,Male,22,-2.249731254
25,19,Suturing,121.6666667,1,12:10,4,Female,23,-2.233478044
24,21,Suturing,218.1818182,1,20:00,4,Female,22,-2.210271255
24,22,Suturing,199.1666667,1,19:55,4,Female,26,-2.237453291
23,24,Suturing,239,1,19:55,4,Female,25,-2.223071199
25,26,Suturing,144.1666667,1,14:25,4,Female,22,-2.248858883
18,1,Suturing,480,2,20:00,4,Male,22,NA
21,2,Suturing,300,2,20:00,4,Male,23,-2.254385322
25,3,Suturing,154.1666667,2,15:25,4,Male,23,-2.224141768
24,4,Suturing,175,2,17:30,4,Male,23,-2.2454935
28,7,Suturing,121.6666667,2,12:10,4,Male,25,-2.252491149
29,8,Suturing,119.1666667,2,11:55,4,Male,22,-2.24576587
19,10,Suturing,202.7272727,2,18:35,4,Male,24,-2.240278439
22,11,Suturing,218.1818182,2,20:00,4,Male,22,-2.238419069
22,12,Suturing,197.5,2,19:45,4,Male,23,-2.227057134
18,13,Suturing,400,2,20:00,4,Male,22,-2.249731254
24,19,Suturing,121.6666667,2,12:10,4,Female,23,-2.233478044
23,21,Suturing,218.1818182,2,20:00,4,Female,22,-2.210271255
24,22,Suturing,199.1666667,2,19:55,4,Female,26,-2.237453291
22,24,Suturing,239,2,19:55,4,Female,25,-2.223071199
20,26,Suturing,144.1666667,2,14:25,4,Female,22,-2.248858883
15,1,Suturing,480,1,20:00,5,Male,22,NA
20,2,Suturing,191.6666667,1,19:10,5,Male,23,-2.255485782
23,3,Suturing,181.6666667,1,18:10,5,Male,23,-2.249837352
22,4,Suturing,160.8333333,1,16:05,5,Male,23,-2.242419704
23,7,Suturing,171.6666667,1,17:10,5,Male,25,-2.239795527
27,8,Suturing,180.8333333,1,18:05,5,Male,22,-2.256863235
15,10,Suturing,141.6666667,1,14:10,5,Male,24,NA
23,11,Suturing,190,1,19:00,5,Male,22,-2.238011274
24,12,Suturing,240,1,20:00,5,Male,23,-2.23727839
19,13,Suturing,400,1,20:00,5,Male,22,-2.247493476
27,19,Suturing,129.1666667,1,12:55,5,Female,23,-2.234447776
25,21,Suturing,185.8333333,1,18:35,5,Female,22,-2.200518937
26,22,Suturing,193.3333333,1,19:20,5,Female,26,-2.240529217
23,24,Suturing,196.6666667,1,19:40,5,Female,25,-2.247022161
27,26,Suturing,125.8333333,1,12:35,5,Female,22,-2.24119494
17,1,Suturing,480,2,20:00,5,Male,22,NA
21,2,Suturing,191.6666667,2,19:10,5,Male,23,-2.255485782
23,3,Suturing,181.6666667,2,18:10,5,Male,23,-2.249837352
25,4,Suturing,160.8333333,2,16:05,5,Male,23,-2.242419704
27,7,Suturing,171.6666667,2,17:10,5,Male,25,-2.239795527
28,8,Suturing,180.8333333,2,18:05,5,Male,22,-2.256863235
21,10,Suturing,141.6666667,2,14:10,5,Male,24,NA
20,11,Suturing,190,2,19:00,5,Male,22,-2.238011274
21,12,Suturing,240,2,20:00,5,Male,23,-2.23727839
17,13,Suturing,400,2,20:00,5,Male,22,-2.247493476
27,19,Suturing,129.1666667,2,12:55,5,Female,23,-2.234447776
22,21,Suturing,185.8333333,2,18:35,5,Female,22,-2.200518937
20,22,Suturing,193.3333333,2,19:20,5,Female,26,-2.240529217
20,24,Suturing,196.6666667,2,19:40,5,Female,25,-2.247022161
27,26,Suturing,125.8333333,2,12:35,5,Female,22,-2.24119494
